mode	scenario	model	n_eval	precision_macro	recall_macro	f1_macro	precision_bacteria	recall_bacteria	f1_bacteria	support_bacteria	precision_eukaryota	recall_eukaryota	f1_eukaryota	support_eukaryota	precision_plasmid	recall_plasmid	f1_plasmid	support_plasmid	precision_virus	recall_virus	f1_virus	support_virus
long	bacteria_dominant_70	dmc	52	0.8444444444444444	0.8797297297297297	0.8601494396014944	0.9444444444444444	0.918918918918919	0.9315068493150684	37	1.0	1.0	1.0	5	0.6	0.6	0.6	5	0.8333333333333334	1.0	0.9090909090909091	5
long	bacteria_dominant_70	4cac	52	0.9868421052631579	0.7932432432432432	0.855079365079365	0.9473684210526315	0.972972972972973	0.96	37	1.0	1.0	1.0	5	1.0	0.4	0.5714285714285714	5	1.0	0.8	0.8888888888888888	5
long	bacteria_dominant_70	hybrid_no_rescue	52	0.9391025641025642	0.8432432432432433	0.856971975393028	0.9230769230769231	0.972972972972973	0.9473684210526315	37	1.0	1.0	1.0	5	1.0	0.4	0.5714285714285714	5	0.8333333333333334	1.0	0.9090909090909091	5
long	bacteria_dominant_70	hybrid_rescue	52	0.8444444444444444	0.8797297297297297	0.8601494396014944	0.9444444444444444	0.918918918918919	0.9315068493150684	37	1.0	1.0	1.0	5	0.6	0.6	0.6	5	0.8333333333333334	1.0	0.9090909090909091	5
long	balanced_25_25_25_25	dmc	52	0.8939393939393939	0.8846153846153846	0.8839285714285714	0.8	0.9230769230769231	0.8571428571428571	13	1.0	0.8461538461538461	0.9166666666666666	13	0.9090909090909091	0.7692307692307693	0.8333333333333334	13	0.8666666666666667	1.0	0.9285714285714286	13
long	balanced_25_25_25_25	4cac	52	0.8853383458646616	0.7692307692307692	0.7877874136097821	0.6842105263157895	1.0	0.8125	13	1.0	0.6923076923076923	0.8181818181818182	13	1.0	0.46153846153846156	0.631578947368421	13	0.8571428571428571	0.9230769230769231	0.8888888888888888	13
long	balanced_25_25_25_25	hybrid_no_rescue	52	0.9197916666666667	0.8076923076923077	0.8243363437328954	0.8125	1.0	0.896551724137931	13	1.0	0.8461538461538461	0.9166666666666666	13	1.0	0.38461538461538464	0.5555555555555556	13	0.8666666666666667	1.0	0.9285714285714286	13
long	balanced_25_25_25_25	hybrid_rescue	52	0.8939393939393939	0.8846153846153846	0.8839285714285714	0.8	0.9230769230769231	0.8571428571428571	13	1.0	0.8461538461538461	0.9166666666666666	13	0.9090909090909091	0.7692307692307693	0.8333333333333334	13	0.8666666666666667	1.0	0.9285714285714286	13
long	eukaryota_rich_55	dmc	52	0.8741258741258742	0.8655172413793103	0.8468991016187812	0.7692307692307693	1.0	0.8695652173913043	10	1.0	0.8620689655172413	0.9259259259259259	29	1.0	0.6	0.75	5	0.7272727272727273	1.0	0.8421052631578947	8
long	eukaryota_rich_55	4cac	52	0.8973214285714286	0.6911637931034482	0.714498299319728	0.7142857142857143	1.0	0.8333333333333334	10	1.0	0.6896551724137931	0.8163265306122449	29	1.0	0.2	0.3333333333333333	5	0.875	0.875	0.875	8
long	eukaryota_rich_55	hybrid_no_rescue	52	0.8785714285714286	0.7655172413793103	0.7453703703703703	0.7142857142857143	1.0	0.8333333333333334	10	1.0	0.8620689655172413	0.9259259259259259	29	1.0	0.2	0.3333333333333333	5	0.8	1.0	0.8888888888888888	8
long	eukaryota_rich_55	hybrid_rescue	52	0.8923076923076922	0.8655172413793103	0.8585950080515298	0.7692307692307693	1.0	0.8695652173913043	10	1.0	0.8620689655172413	0.9259259259259259	29	1.0	0.6	0.75	5	0.8	1.0	0.8888888888888888	8
long	plasmid_spike_30	dmc	52	0.8851851851851852	0.8401785714285714	0.8516666666666667	0.7407407407407407	0.9523809523809523	0.8333333333333334	21	1.0	0.875	0.9333333333333333	8	0.8	0.5333333333333333	0.64	15	1.0	1.0	1.0	8
long	plasmid_spike_30	4cac	52	0.8724137931034484	0.6797619047619048	0.7166666666666667	0.6896551724137931	0.9523809523809523	0.8	21	1.0	0.5	0.6666666666666666	8	0.8	0.26666666666666666	0.4	15	1.0	1.0	1.0	8
long	plasmid_spike_30	hybrid_no_rescue	52	0.8390804597701149	0.7401785714285714	0.7388888888888889	0.6896551724137931	0.9523809523809523	0.8	21	1.0	0.875	0.9333333333333333	8	0.6666666666666666	0.13333333333333333	0.2222222222222222	15	1.0	1.0	1.0	8
long	plasmid_spike_30	hybrid_rescue	52	0.8851851851851852	0.8401785714285714	0.8516666666666667	0.7407407407407407	0.9523809523809523	0.8333333333333334	21	1.0	0.875	0.9333333333333333	8	0.8	0.5333333333333333	0.64	15	1.0	1.0	1.0	8
long	virus_spike_25	dmc	52	0.8715909090909091	0.8773809523809524	0.8739837398373983	0.85	0.8095238095238095	0.8292682926829268	21	1.0	1.0	1.0	8	0.6363636363636364	0.7	0.6666666666666666	10	1.0	1.0	1.0	13
long	virus_spike_25	4cac	52	0.9565217391304348	0.8007097069597069	0.8559090909090908	0.8260869565217391	0.9047619047619048	0.8636363636363636	21	1.0	0.875	0.9333333333333333	8	1.0	0.5	0.6666666666666666	10	1.0	0.9230769230769231	0.96	13
