dataset	model	precision_macro	recall_macro	f1_macro	precision_plasmid	recall_plasmid	f1_plasmid
cami_i_high	4cac	0.25	0.2380156585834076	0.2438606778256972	0.0	0.0	0.0
cami_i_high	dmc	0.25	0.1079668475817527	0.1508056518517335	0.0	0.0	0.0
cami_i_high	hybrid_no_rescue	0.25	0.2490973307913136	0.2495478491102851	0.0	0.0	0.0
cami_i_high	hybrid_rescue	0.25	0.2273129578780763	0.2381173128932114	0.0	0.0	0.0
cami_ii_marine	4cac	0.2497668857235281	0.1995259658667675	0.2218374004354975	0.0	0.0	0.0
cami_ii_marine	dmc	0.2499997131705886	0.0357372446082425	0.0599396972475593	0.0001008001984988	0.0068674062334918	0.0001986840999228
cami_ii_marine	hybrid_no_rescue	0.249793568790547	0.2499994580237203	0.2498964709992027	0.0	0.0	0.0
cami_ii_marine	hybrid_rescue	0.2498080440611898	0.2377384161441686	0.2427569688879817	0.0001008001984988	0.0068674062334918	0.0001986840999228
camisim	4cac	0.2494574868714963	0.2124146781462486	0.1962789413702368	0.0117647058823529	0.002840909090909	0.0045766590389016
camisim	dmc	0.2476005870121076	0.2391086210981785	0.2012162574440654	0.006608591168519	0.0625	0.0119532735669655
camisim	hybrid_no_rescue	0.2476855452452623	0.2413699564487789	0.2004345646109036	0.0066565809379727	0.0625	0.012031719989062
camisim	hybrid_rescue	0.2476855452452623	0.2413699564487789	0.2004345646109036	0.0066565809379727	0.0625	0.012031719989062
