dataset	sample	model	n_eval	precision_macro	recall_macro	f1_macro	precision_bacteria	recall_bacteria	f1_bacteria	support_bacteria	precision_eukaryota	recall_eukaryota	f1_eukaryota	support_eukaryota	precision_plasmid	recall_plasmid	f1_plasmid	support_plasmid	precision_virus	recall_virus	f1_virus	support_virus
cami_i_high	ALL	dmc	1136629	0.25	0.1079668475817527	0.1508056518517335	1.0	0.4318673903270108	0.603222607406934	1136629	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	ALL	4cac	1136629	0.25	0.2380156585834076	0.2438606778256972	1.0	0.9520626343336304	0.9754427113027888	1136629	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	ALL	hybrid_no_rescue	1136629	0.25	0.2490973307913136	0.24954784911028516	1.0	0.9963893231652544	0.9981913964411406	1136629	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	ALL	hybrid_rescue	1136629	0.25	0.22731295787807632	0.23811731289321145	1.0	0.9092518315123053	0.9524692515728458	1136629	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_ii_marine	ALL	dmc	2308280	0.24999971317058864	0.035737244608242576	0.0599396972475593	0.9998980524838557	0.1360815721994785	0.23956010489031437	2306374	0.0	0.0	0.0	0	0.00010080019849885243	0.006867406233491812	0.00019868409992281888	1893	0.0	0.0	0.0	13
cami_ii_marine	ALL	4cac	2308280	0.2497668857235281	0.1995259658667675	0.22183740043549754	0.9990675428941124	0.79810386346707	0.8873496017419902	2306374	0.0	0.0	0.0	0	0.0	0.0	0.0	1893	0.0	0.0	0.0	13
cami_ii_marine	ALL	hybrid_no_rescue	2308280	0.24979356879054707	0.24999945802372034	0.24989647099920276	0.9991742751621883	0.9999978320948814	0.999585883996811	2306374	0.0	0.0	0.0	0	0.0	0.0	0.0	1893	0.0	0.0	0.0	13
cami_ii_marine	ALL	hybrid_rescue	2308280	0.24980804406118987	0.23773841614416866	0.24275696888798173	0.9991313760462606	0.9440862583431828	0.9708291914520041	2306374	0.0	0.0	0.0	0	0.00010080019849885243	0.006867406233491812	0.00019868409992281888	1893	0.0	0.0	0.0	13
camisim	ALL	dmc	36591	0.24760058701210763	0.23910862109817857	0.20121625744406546	0.2592832342729359	0.4604933110367893	0.3317646172960355	9568	0.7227361246348588	0.3348496240601504	0.45766108313636833	26600	0.006608591168519075	0.0625	0.0119532735669655	352	0.0017743979721166034	0.09859154929577464	0.0034860557768924302	71
camisim	ALL	4cac	36591	0.24945748687149633	0.21241467814624862	0.1962789413702368	0.26049204052098407	0.5267558528428093	0.3485959330474478	9568	0.7246905885495504	0.30597744360902257	0.4302820438264915	26600	0.011764705882352941	0.002840909090909091	0.004576659038901602	352	0.00088261253309797	0.014084507042253521	0.0016611295681063123	71
camisim	ALL	hybrid_no_rescue	36591	0.2476855452452623	0.24136995644877893	0.20043456461090364	0.2591389594283352	0.45861204013377926	0.33115731481830873	9568	0.7230189297713677	0.33169172932330826	0.4547586526814937	26600	0.0066565809379727685	0.0625	0.012031719989062073	352	0.0019277108433734939	0.11267605633802817	0.0037905709547500594	71
camisim	ALL	hybrid_rescue	36591	0.2476855452452623	0.24136995644877893	0.20043456461090364	0.2591389594283352	0.45861204013377926	0.33115731481830873	9568	0.7230189297713677	0.33169172932330826	0.4547586526814937	26600	0.0066565809379727685	0.0625	0.012031719989062073	352	0.0019277108433734939	0.11267605633802817	0.0037905709547500594	71
ALL	ALL	dmc	3481500	0.30753008237545976	0.16703252629222334	0.165558946334125	0.9846438041601309	0.23435694732997525	0.37860209006149276	3452571	0.24520977865873803	0.3348496240601504	0.2831034263556036	26600	0.00015119508918350332	0.015590200445434299	0.00029948574020039875	2245	0.00011555159378662572	0.08333333333333333	0.00023078317920313866	84
ALL	ALL	4cac	3481500	0.27297798635283416	0.29159116334712126	0.2658126554017312	0.9945562638292842	0.8480370135762596	0.9154711830913913	3452571	0.09724827643888975	0.30597744360902257	0.1475886955654484	26600	7.92393026941363e-05	0.00044543429844097997	0.00013454423141607804	2245	2.8165840468679586e-05	0.011904761904761904	5.619871866921434e-05	84
ALL	ALL	hybrid_no_rescue	3481500	0.3863817136474321	0.35850973008391773	0.3548878137853794	0.9958206720993206	0.9973095412085661	0.9965645505610173	3452571	0.5411223551057958	0.33169172932330826	0.41128073651089614	26600	0.0066565809379727685	0.009799554565701559	0.007927927927927928	2245	0.001927246446639364	0.09523809523809523	0.0037780401416765055	84
ALL	ALL	hybrid_rescue	3481500	0.38468263934612307	0.34344824518148087	0.3444220849717657	0.9955296489731011	0.9312729557190859	0.9623298582298447	3452571	0.5411223551057958	0.33169172932330826	0.41128073651089614	26600	0.00015130685895606915	0.015590200445434299	0.0002997050046454276	2245	0.001927246446639364	0.09523809523809523	0.0037780401416765055	84
